Variety	Field I PCo1	Field I shannon_e	Field I Tiller	Field II PCo1	Field II shannon_e	Field II Tiller
J4083	-0.184298336955073	4.625	14.5	-0.00185175830406245	5.24833333333333	35.17
J4084	-0.308785456948513	3.75333333333333	10.83	-0.0822032274445444	5.03666666666667	21.67
J4085	-0.204545353025476	4.33166666666667	7.17	0.0109166719787735	5.49833333333333	19
J4086	-0.000944877804276542	4.72333333333333	11.17	-0.019790920098085	5.47	30
J4087	-0.00371377312327856	5.14166666666667	23.17	-0.10608486299196	4.83	34
J4088	-0.0208650752231113	5.23333333333333	18	0.236872161004909	6.10666666666667	32.67
J4089	-0.128093399484447	4.655	14.5	-0.00403373593236652	5.245	43.67
J4090	-0.187238064408864	4.17	11	0.0470898459094681	5.92833333333333	24.33
K4091	-0.255337473470514	4.07333333333333	6	-0.0242471425251577	5.11833333333333	15.17
K4092	0.0367056765014874	4.59333333333333	12.5	-0.080972605297849	5.545	21
K4093	0.239940038410683	5.54666666666667	22.33	0.0809619274087297	5.65	36.5
K4096	0.0565806076336287	5.33333333333333	26.67	-0.14721747861744	5.14333333333333	29.5
K4097	-0.0522723750107813	4.87666666666667	12.17	-0.138300719210974	5.17833333333333	21
K4098	-0.237929281588001	4.24	12.5	-0.0287868235940434	5.01333333333333	35
K4099	-0.156392169189657	4.485	15.83	0.0866640135407349	5.76333333333333	31.83
K4100	-0.03252184656762	4.61833333333333	13.33	-0.154501331852368	4.82833333333333	23.33
L4101	-0.20081231973694	4.315	10.67	-0.0971768657967337	5.15333333333333	27.67
L4103	-0.233145870325896	3.81833333333333	10.67	-0.15168575819181	4.85166666666667	27.17
L4105	0.261252670969578	5.53333333333333	8.33	-0.0195503423439245	5.77666666666667	44
L4106	0.0897657823831876	5.225	19.5	-0.0637414309230848	5.79166666666667	28.17
L4107	-0.175694681045792	4.31333333333333	9.5	-0.119676845063123	5.29	23.17
L4108	-0.170000410140425	4.15333333333333	10.5	-0.0963240961788566	5.02	27.67
L4109	0.112565163891672	5.42333333333333	8.83	0.0645958075790117	6.02833333333333	21.83
L4110	0.0875023611822853	5.60833333333333	16.83	0.166099640899351	5.95	37.2
M4111	0.0146568747360099	5.1375	22.75	-0.108873133165288	5.19333333333333	33.67
M4112	0.0499772920439599	5.25166666666667	12.17	0.00691273244166392	5.7125	36
M4113	0.214466866364118	5.59833333333333	11.5	0.137260470092132	5.97333333333333	44.67
M4114	0.0820707755122701	5.325	20.17	0.0699489176425987	5.77333333333333	30.5
M4115	-0.0200477192305075	5.05333333333333	13.67	-0.0293604706579316	5.72166666666667	22.83
M4116	0.0475990539457198	4.79166666666667	22.17	-0.0596137994168214	5.10333333333333	26
M4117	-0.0370821518728348	4.24833333333333	14.67	-0.153536623040408	4.51166666666667	21.67
M4118	0.063136317378702	4.53333333333333	15	-0.0806723781695433	5.36	23.67
M4119	0.061868140244308	4.96333333333333	23.67	-0.118813747738773	5.08	40.5
N4121	0.109826653090406	5.18	26.33	0.188695262068788	5.605	27.5
N4122	-0.0491283867856607	4.66666666666667	16.17	-0.166349382936505	4.83666666666667	28.67
N4123	-0.240381500666222	4.075	8.33	-0.17046928432824	4.67166666666667	14.33
N4124	0.0882575404197833	5.465	21.67	0.010702424128082	5.77166666666667	32
N4125	0.0521730858073902	5.24166666666667	11.33	0.133014396562092	5.61	27.67
N4126	0.184055087329693	5.46	22.17	0.0216791211271116	5.65333333333333	40
N4127	0.158890359516526	5.51666666666667	14.33	0.0665441246659947	5.58333333333333	18
N4128	0.0955509805227542	5.27833333333333	22.17	-0.0675977902752766	5.005	33
N4130	0.183703276880378	5.75333333333333	22.83	0.141312831010943	5.90666666666667	31.5
P4131	0.208976722133366	6.10333333333333	18.33	0.0723917252530242	6.00833333333333	28
P4132	0.0774234702819805	5.24	12	0.0392294253306739	5.45333333333333	23
P4133	-0.0153794751900283	5.22333333333333	12.5	0.0649092122711978	5.495	26.67
P4134	0.028976356654052	5.04666666666667	23.33	-0.175142251549002	4.98333333333333	43.5
P4135	0.132625205258146	5.52166666666667	21.67	0.0790229927439424	5.255	35.5
P4136	-0.0341790626506288	4.86	9.67	-0.0094511560715864	5.47666666666667	26.33
P4138	-0.193880157685106	4.69666666666667	6.83	-0.110265118762594	4.915	11
P4139	-0.118653559771297	4.76833333333333	7.83	-0.0167615636356683	5.16666666666667	21.33
P4140	0.0687645714456373	5.59	11.83	0.0470634030188247	5.33333333333333	30.17
Q4142	-0.118397611160369	4.635	8	-0.139631647085603	4.96166666666667	16.17
Q4143	0.0911330424852158	5.21833333333333	12	-0.0453111665512294	4.97666666666667	23.33
Q4145	-0.0688546629542529	5.06833333333333	18.67	0.0521331353934065	5.59333333333333	36.17
Q4146	0.148595514370008	5.18833333333333	12	0.0442251073924547	4.93	24.67
Q4147	-0.0982129537123659	4.78666666666667	11.5	-0.025059652513606	5.075	26.67
Q4148	-0.0918581935938734	5.075	10.67	0.0823189154209522	5.7	23.83
Q4149	-0.132706595993461	4.675	10.17	0.0773983490363173	5.47666666666667	24.5
Q4150	0.0464655292791167	5.56833333333333	32.17	0.225186623336166	6.06166666666667	48
R4151	0.13590374991279	5.21833333333333	13	-0.0876933020913271	5.02833333333333	25.17
R4152	-0.0152780068710986	4.79333333333333	14.67	-0.0849497371115507	4.855	25
R4153	0.140469083470317	5.36	19	-0.02684078773747	5.355	32
R4154	0.0495205001603122	4.91	29	-0.109535047589415	4.91166666666667	36.33
R4155	-0.0632035154741833	5.01666666666667	12.5	-0.186492099133501	4.75666666666667	26.17
R4157	-0.0216286010720261	4.61166666666667	9.83	-0.222499267382909	4.528	28.6
R4158	-0.103101936489546	4.57	11.67	-0.0558136966692418	5.56166666666667	28.5
